CAUSE,DT,AGE,SEX,RACECOLOR,DEATH_COUNT,DEATH_RATE,DEATHS_STANDARDIZED,DEATHS_STANDARDIZED_BR
A044,2015-07-25,"[0.0, 5.0)",Male,White,1,0.366668377785763,0.193574267651654,0.29918838808239645
A048,2016-02-25,"[75.0, 80.0)",Male,Black,1,0.35732662512149105,3.867171267548604,0.9258008014511357
A049,2000-04-30,"[0.0, 5.0)",Female,White,1,0.750756387059963,0.40904238152989153,0.6098821908610682
A049,2000-12-21,"[0.0, 5.0)",Male,Brown,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A049,2011-07-23,"[30.0, 35.0)",Male,Brown,1,0.424962284597242,0.21167677057045325,0.360062186740341
A049,2014-08-12,"[55.0, 60.0)",Male,Brown,1,0.37677697440554014,0.6548087841597846,0.5637903631615745
A049,2017-11-14,"[10.0, 15.0)",Female,Yellow,1,0.3486908402403177,0.18009030071290036,0.3350760135064224
A049,2021-04-30,"[80.0, 85.0)",Male,Brown,1,0.3191329795212367,6.907640249377417,1.0154231166584802
A049,2022-05-25,"[85.0, 90.0)",Male,Brown,1,0.3121079144324942,12.385234699702151,0.8322877718199847
A049,2022-12-18,"[0.0, 5.0)",Female,Brown,1,0.3121079144324942,0.17004898901192883,0.25354304261678584
A059,2016-07-25,"[80.0, 85.0)",Female,White,1,0.35732662512149105,6.544443683543791,1.4293065004859642
A060,2013-03-09,"[0.0, 5.0)",Female,Indigenous,1,0.38774117501085675,0.2112570420675911,0.31498424972277833
A064,2018-11-30,"[55.0, 60.0)",Male,Black,1,0.34263589796302957,0.5954742752225052,0.5127033509665769
A065,2016-08-27,"[10.0, 15.0)",Female,Brown,1,0.35732662512149105,0.18455047263789431,0.34337460939006614
A066,2009-07-17,"[30.0, 35.0)",Female,Brown,1,0.530096212462562,0.2413257818731503,0.4267122475081043
A084,1996-09-03,"[0.0, 5.0)",Female,,1,1.1335169630813524,0.6175857922422101,0.9208204162331352
A084,1996-09-05,"[0.0, 5.0)",Male,,1,1.1335169630813524,0.5984146146559775,0.9249096284122788
A084,1996-10-03,"[0.0, 5.0)",Male,,1,1.1335169630813524,0.5984146146559775,0.9249096284122788
A084,2017-08-10,"[0.0, 5.0)",Male,,1,0.3486908402403177,0.1840834337664015,0.2845193552293502
A085,1996-10-03,"[0.0, 5.0)",Male,,1,1.1335169630813524,0.5984146146559775,0.9249096284122788
A085,1996-10-27,"[0.0, 5.0)",Male,,1,1.1335169630813524,0.5984146146559775,0.9249096284122788
A085,1996-11-29,"[0.0, 5.0)",Female,,1,1.1335169630813524,0.6175857922422101,0.9208204162331352
A085,1996-12-16,"[0.0, 5.0)",Male,,1,1.1335169630813524,0.5984146146559775,0.9249096284122788
A085,2009-03-26,"[75.0, 80.0)",Female,Brown,1,0.530096212462562,5.258890996652401,1.7007253483173865
A085,2009-11-21,"[0.0, 5.0)",Female,Brown,1,0.530096212462562,0.2888178121731296,0.4306273579501362
A09,1996-03-12,"[0.0, 5.0)",Female,,1,1.1335169630813524,0.6175857922422101,0.9208204162331352
A09,1996-04-26,"[0.0, 5.0)",Female,,1,1.1335169630813524,0.6175857922422101,0.9208204162331352
A09,1997-01-07,"[0.0, 5.0)",Female,,1,1.0055809744079642,0.5478811018894869,0.8168907229172249
A09,1997-01-25,"[0.0, 5.0)",Male,,1,1.0055809744079642,0.530873706265423,0.8205184004038377
A09,1997-02-01,"[0.0, 5.0)",Male,Brown,1,1.0055809744079642,0.530873706265423,0.8205184004038377
A09,1997-09-23,"[0.0, 5.0)",Female,,1,1.0055809744079642,0.5478811018894869,0.8168907229172249
A09,1997-11-01,"[0.0, 5.0)",Female,,1,1.0055809744079642,0.5478811018894869,0.8168907229172249
A09,1998-02-26,"[0.0, 5.0)",Male,Brown,1,0.9036035710413127,0.4770370452123919,0.7373084570802729
A09,1998-04-03,"[0.0, 5.0)",Female,Brown,1,0.9036035710413127,0.4923196965464273,0.7340486675507231
A09,1998-08-17,"[0.0, 5.0)",Female,Brown,1,0.9036035710413127,0.4923196965464273,0.7340486675507231
A09,1998-11-26,"[0.0, 5.0)",Female,White,1,0.9036035710413127,0.4923196965464273,0.7340486675507231
A09,1998-12-07,"[0.0, 5.0)",Male,White,1,0.9036035710413127,0.4770370452123919,0.7373084570802729
A09,1999-08-22,"[0.0, 5.0)",Male,White,1,0.8202167012524709,0.43301483541995084,0.6692677296250761
A09,1999-11-06,"[0.0, 5.0)",Female,,1,0.8202167012524709,0.4468871642434733,0.6663087618870186
A09,2000-03-17,"[0.0, 5.0)",Male,Brown,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-07-18,"[0.0, 5.0)",Male,Brown,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-08-13,"[0.0, 5.0)",Female,White,1,0.750756387059963,0.40904238152989153,0.6098821908610682
A09,2000-09-09,"[0.0, 5.0)",Male,White,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-09-17,"[0.0, 5.0)",Female,,1,0.750756387059963,0.40904238152989153,0.6098821908610682
A09,2000-09-27,"[0.0, 5.0)",Male,Brown,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-10-01,"[0.0, 5.0)",Male,Brown,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-10-02,"[0.0, 5.0)",Male,White,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-10-15,"[0.0, 5.0)",Male,White,1,0.750756387059963,0.39634483531832065,0.6125905774679964
A09,2000-10-18,"[0.0, 5.0)",Female,White,1,0.750756387059963,0.40904238152989153,0.6098821908610682
A09,2000-10-31,"[0.0, 5.0)",Female,White,1,0.750756387059963,0.40904238152989153,0.6098821908610682
A09,2001-02-03,"[0.0, 5.0)",Female,White,1,0.6627607963733729,0.361098832065693,0.5383983586099482
A09,2001-12-04,"[5.0, 10.0)",Female,Brown,1,0.6627607963733729,0.3793273788767014,0.6133723716436262
A09,2001-12-19,"[0.0, 5.0)",Male,White,1,0.6627607963733729,0.34988955568227903,0.5407892972625304
A09,2002-01-09,"[0.0, 5.0)",Male,Brown,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-03-11,"[0.0, 5.0)",Male,White,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-04-07,"[0.0, 5.0)",Female,Black,1,0.6205899327901103,0.3381224434946662,0.5041405632505472
A09,2002-05-21,"[0.0, 5.0)",Female,White,1,0.6205899327901103,0.3381224434946662,0.5041405632505472
A09,2002-06-14,"[0.0, 5.0)",Male,White,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-07-08,"[0.0, 5.0)",Male,Brown,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-08-04,"[0.0, 5.0)",Female,Black,1,0.6205899327901103,0.3381224434946662,0.5041405632505472
A09,2002-08-31,"[0.0, 5.0)",Male,Brown,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-09-08,"[0.0, 5.0)",Male,White,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-09-14,"[0.0, 5.0)",Male,Black,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2002-11-01,"[0.0, 5.0)",Male,Brown,1,0.6205899327901103,0.32762640312010893,0.5063793686624404
A09,2003-01-11,"[0.0, 5.0)",Male,White,1,0.5808010407954651,0.30662075852363274,0.4739130443741268
A09,2003-01-14,"[45.0, 50.0)",Male,Black,1,0.5808010407954651,0.5598621947131917,0.7007235229030307
A09,2003-02-02,"[60.0, 65.0)",Male,Brown,1,0.5808010407954651,1.5714313874336177,1.04940188052817
A09,2003-05-13,"[0.0, 5.0)",Female,White,1,0.5808010407954651,0.31644384918571705,0.4718177791359041
A09,2003-05-17,"[0.0, 5.0)",Male,White,1,0.5808010407954651,0.30662075852363274,0.4739130443741268
A09,2003-06-02,"[0.0, 5.0)",Male,Brown,1,0.5808010407954651,0.30662075852363274,0.4739130443741268
A09,2003-07-08,"[0.0, 5.0)",Male,White,1,0.5808010407954651,0.30662075852363274,0.4739130443741268
A09,2003-11-05,"[0.0, 5.0)",Female,White,1,0.5808010407954651,0.31644384918571705,0.4718177791359041
A09,2003-11-20,"[0.0, 5.0)",Female,Brown,1,0.5808010407954651,0.31644384918571705,0.4718177791359041
A09,2003-11-25,"[0.0, 5.0)",Male,Brown,1,0.5808010407954651,0.30662075852363274,0.4739130443741268
