code_1lvl,name_1lvl,code_2lvl,name_2lvl,code_3lvl,name_3lvl
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections
A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09,Diarrhoea and gastroenteritis of presumed infectious origin
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17+,Tuberculosis of nervous system
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs
A00-B99,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis
